Spc.Name.Short,Spc.Name,Diet
Daff,D. affinis,Malt
Dame,D. americana,Malt
Dana,D. ananassae,Cornmeal
Dari,D. arizonae,Banana
Dbai,D. baimaii,Cornmeal
Dbuz,D. buzzatii,Malt
Deur,D. euronotus,Cornmeal
Dfla,D. flavomontana,Malt
Dhyd,D. hydei,Cornmeal
Dimm,D. immigrans,Malt
Dlac,D. lacicola,Malt
Dmel,D. melanogaster,Cornmeal
Dmon,D. montana,Malt
Dnas,D. nasuta,Cornmeal
Dneb,D. nebulosa,Cornmeal
Dpar,D. paramelanica,Cornmeal
Dper,D. persimilis,Malt
Dpro,D. prosaltans,Propionic
Dpse,D. pseudoobscura,Malt
Dput,D. putrida,Propionic
Dsal,D. saltans,Propionic
Dsan,D. santomea,Cornmeal
Dsim,D. simulans,Cornmeal
Dstu,D. sturtevanti,Cornmeal
Dsub,D. subobscura,Cornmeal
Dsuc,D. sucinea,Cornmeal
Dtak,D. takahashii,Cornmeal
Dtei,D. teissieri,Cornmeal
Dvir,D. virilis,Propionic
Dyak,D. yakuba,Cornmeal
Sleb,S. lebanonensis,Propionic
Spat,S. pattersoni,Banana
Zdav,Z. davidi,Banana
Ztub,Z. tuberculatus,Banana
