ID,Block,ID.Vial,Spc.Num.ID,Spc.Name.Short,Condition,Inj.Date,Inj.Time,Frz.Date,Frz.Time,Flies,concentration.qubit,concentration.og,Dilute,Water.added,Type
1,1,29_None_1,29,Dpar,None,20.2.23,15.3,22.2.23,15.3,11,29.2,2.92,FALSE,0,Sample
2,1,1_None_1,1,Daff,None,20.2.23,15.3,22.2.23,15.3,12,22.9,2.29,FALSE,0,Sample
3,1,15_None_1,15,Dlac,None,20.2.23,15.31,22.2.23,15.31,10,51.1,5.11,TRUE,0.484,Sample
4,1,11_None_1,11,Deur,None,20.2.23,15.32,22.2.23,15.32,12,110,11,TRUE,26.4,Sample
5,1,57_None_1,57,Ztub,None,20.2.23,15.33,22.2.23,15.33,12,121,12.1,TRUE,31.24,Sample
6,1,46_None_1,46,Dyak,None,20.2.23,15.34,22.2.23,15.34,12,1.94,0.194,FALSE,0,Sample
7,1,39_None_1,39,Dsub,None,20.2.23,15.34,22.2.23,15.34,12,39.8,3.98,FALSE,0,Sample
8,1,31_None_1,31,Dpro,None,20.2.23,15.35,22.2.23,15.35,12,42.9,4.29,FALSE,0,Sample
9,1,45_None_1,45,Dvir,None,20.2.23,15.36,22.2.23,15.36,12,154,15.4,TRUE,45.76,Sample
10,1,61_None_1,61,Dneb,None,20.2.23,15.37,22.2.23,15.37,12,16.7,1.67,FALSE,0,Sample
11,1,23_None_1,23,Dmon,None,20.2.23,15.37,22.2.23,15.37,12,90.1,9.01,TRUE,17.644,Sample
12,1,38_None_1,38,Dstu,None,20.2.23,15.38,22.2.23,15.38,12,83.2,8.32,TRUE,14.608,Sample
13,1,35_None_1,35,Dsan,None,20.2.23,15.39,22.2.23,15.39,12,20.9,2.09,FALSE,0,Sample
14,1,41_None_1,41,Dtak,None,20.2.23,15.4,22.2.23,15.4,12,45.5,4.55,FALSE,0,Sample
15,1,59_None_1,59,Dbai,None,20.2.23,15.41,22.2.23,15.41,12,64.7,6.47,TRUE,6.468,Sample
16,1,24_None_1,24,Dnas,None,20.2.23,15.42,22.2.23,15.42,11,76.6,7.66,TRUE,11.704,Sample
17,1,33_None_1,33,Dpse,None,20.2.23,15.43,22.2.23,15.43,11,54.7,5.47,TRUE,2.068,Sample
18,1,58_None_1,58,Dsal,None,20.2.23,15.43,22.2.23,15.43,10,20.7,2.07,FALSE,0,Sample
19,1,40_None_1,40,Dsuc,None,20.2.23,15.44,22.2.23,15.44,11,17,1.7,FALSE,0,Sample
20,1,62_None_1,62,Dput,None,20.2.23,15.45,22.2.23,15.45,12,20.4,2.04,FALSE,0,Sample
21,1,12_None_1,12,Dfla,None,20.2.23,15.46,22.2.23,15.46,11,89.1,8.91,TRUE,17.204,Sample
22,1,14_None_1,14,Dimm,None,20.2.23,15.47,22.2.23,15.47,12,89.9,8.99,TRUE,17.556,Sample
23,1,54_None_1,54,Zdav,None,20.2.23,15.48,22.2.23,15.48,12,74,7.4,TRUE,10.56,Sample
24,1,3_None_1,3,Dame,None,20.2.23,15.49,22.2.23,15.49,12,116,11.6,TRUE,29.04,Sample
25,1,4_None_1,4,Dana,None,20.2.23,15.49,22.2.23,15.49,12,21.7,2.17,FALSE,0,Sample
26,1,19_None_1,19,Dmel,None,20.2.23,15.5,22.2.23,15.5,12,16.9,1.69,FALSE,0,Sample
27,1,8_None_1,8,Dbuz,None,20.2.23,15.51,22.2.23,15.51,10,63.4,6.34,TRUE,5.896,Sample
28,1,53_None_1,53,Spat,None,20.2.23,15.52,22.2.23,15.52,12,45.6,4.56,FALSE,0,Sample
29,1,42_None_1,42,Dtei,None,20.2.23,15.53,22.2.23,15.53,12,4.68,0.468,FALSE,0,Sample
30,1,30_None_1,30,Dper,None,20.2.23,15.53,22.2.23,15.53,10,20.2,2.02,FALSE,0,Sample
31,1,37_None_1,37,Dsim,None,20.2.23,15.54,22.2.23,15.54,12,19.1,1.91,FALSE,0,Sample
32,1,5_None_1,5,Dari,None,20.2.23,15.55,22.2.23,15.55,12,71.4,7.14,TRUE,9.416,Sample
33,1,13_None_1,13,Dhyd,None,20.2.23,15.56,22.2.23,15.56,12,109,10.9,TRUE,25.96,Sample
34,1,52_None_1,52,Sleb,None,20.2.23,15.57,22.2.23,15.57,11,47.3,4.73,FALSE,0,Sample
35,1,53_Ringers_1,53,Spat,Ringers,22.2.23,14.27,24.2.23,15.2,12,97.6,9.76,TRUE,20.944,Sample
36,1,15_Ringers_1,15,Dlac,Ringers,22.2.23,14.31,24.2.23,15.2,12,130,13,TRUE,35.2,Sample
37,1,40_Ringers_1,40,Dsuc,Ringers,22.2.23,14.33,24.2.23,15.21,12,23,2.3,FALSE,0,Sample
38,1,5_Ringers_1,5,Dari,Ringers,22.2.23,14.37,24.2.23,15.22,12,35.7,3.57,FALSE,0,Sample
39,1,61_Ringers_1,61,Dneb,Ringers,22.2.23,14.4,24.2.23,15.22,11,31,3.1,FALSE,0,Sample
40,1,29_Ringers_1,29,Dpar,Ringers,22.2.23,14.43,24.2.23,15.23,11,39.1,3.91,FALSE,0,Sample
41,1,3_Ringers_1,3,Dame,Ringers,22.2.23,14.46,24.2.23,15.25,11,197,19.7,TRUE,64.68,Sample
42,1,54_Ringers_1,54,Zdav,Ringers,22.2.23,14.49,24.2.23,15.25,10,31.9,3.19,FALSE,0,Sample
43,1,13_Ringers_1,13,Dhyd,Ringers,22.2.23,14.53,24.2.23,15.26,12,102,10.2,TRUE,22.88,Sample
44,1,38_Ringers_1,38,Dstu,Ringers,22.2.23,14.58,24.2.23,15.27,11,26.2,2.62,FALSE,0,Sample
45,1,57_Ringers_1,57,Ztub,Ringers,22.2.23,14.59,24.2.23,15.27,12,103,10.3,TRUE,23.32,Sample
46,1,24_Ringers_1,24,Dnas,Ringers,22.2.23,15.07,24.2.23,15.28,12,27.5,2.75,FALSE,0,Sample
47,1,35_Ringers_1,35,Dsan,Ringers,22.2.23,15.1,24.2.23,15.29,11,5.27,0.527,FALSE,0,Sample
48,1,11_Ringers_1,11,Deur,Ringers,22.2.23,15.13,24.2.23,15.3,12,103,10.3,TRUE,23.32,Sample
