species,foldchange,block
D. sturtevanti,7.201372803225978,1
D. hydei,-0.191125429,1
D. nebulosa,5.346484140508826,1
D. lacicola,4.961173633,1
S. lebanonensis,3.593300196594619,1
D. flavomontana,4.424648701093086,1
D. simulans,6.863976840781491,1
Z. davidi,-1.511404828,1
D. subobscura,6.861391675535419,1
D. affinis,8.169059178162222,1
D. buzzatii,5.415507501685037,1
D. melanogaster,5.651500299037666,1
D. sucinea,1.8602836988453604,1
D. ananassae,6.852164326753157,1
D. immigrans,2.716278547373332,1
D. pseudoobscura,6.207180849787075,1
D. virilis,2.419651724323852,1
D. arizonae,3.4870365734126114,1
D. americana,5.659795401269418,1
D. prosaltans,5.570889730025977,1
D. santomea,3.841936817355465,1
D. nasuta,4.423648581071862,1
D. putrida,5.653886979023624,1
D. baimaii,4.767847713,1
D. montana,5.417521756545378,1
D. euronotus,3.882274449,1
D. takahashii,5.675088014452713,1
D. paramelanica,6.361673586191959,1
D. yakuba,1.735865400367428,1
D. teissieri,4.413008365281593,1
S. pattersoni,4.202424095926933,1
D. saltans,4.388121454335579,1
Z. tuberculatus,1.519100424394758,1
D. persimilis,8.028709841155802,1
D. persimilis,4.971519611129331,2
D. americana,6.466891861,2
D. subobscura,6.347822598533072,2
D. santomea,4.3456054476225505,2
D. paramelanica,6.097445038,2
D. melanogaster,6.673276598188586,2
D. buzzatii,6.655640534610641,2
D. arizonae,4.201168935630029,2
D. immigrans,2.4548876179397263,2
D. lacicola,4.867352028447708,2
D. baimaii,5.720317556552199,2
D. yakuba,1.9076812097584048,2
D. euronotus,4.131067265,2
Z. tuberculatus,0.4884556235392936,2
D. simulans,6.331164268,2
D. affinis,6.572852479328498,2
D. prosaltans,3.921987296309169,2
D. sucinea,2.94508162085651,2
Z. davidi,-0.129111237,2
D. montana,7.268598289177595,2
D. pseudoobscura,3.985864418459404,2
D. ananassae,5.973951846249456,2
D. putrida,5.427358348059448,2
D. sturtevanti,4.587985229256484,2
D. hydei,1.8096192837017235,2
D. takahashii,3.574836446587045,2
D. teissieri,4.271870746160084,2
D. nasuta,4.8780030290516985,2
D. flavomontana,5.911653056374546,2
S. pattersoni,4.455163735720319,2
D. saltans,3.675155816818557,2
S. lebanonensis,4.558729700969484,2
D. nebulosa,4.650840871259311,2
D. virilis,2.7362899607731013,2
D. paramelanica,6.678621499906846,3
Z. tuberculatus,-1.343231716,3
D. immigrans,2.886060650351266,3
D. buzzatii,3.044584954020948,3
D. nasuta,4.3101594494282836,3
D. subobscura,4.960746355878681,3
D. yakuba,1.5924725033360263,3
D. lacicola,5.001084904714812,3
D. persimilis,6.246598650341497,3
D. baimaii,5.431485090948943,3
D. melanogaster,3.0217034138306196,3
Z. davidi,-0.435158859,3
D. americana,5.629879093562072,3
D. putrida,5.240684341299862,3
D. sturtevanti,4.624318578082876,3
D. sucinea,1.505879539827605,3
D. pseudoobscura,4.911403953503034,3
D. flavomontana,3.345447314,3
D. saltans,4.632488129088848,3
S. pattersoni,4.9352258327162835,3
D. virilis,2.5692550759749193,3
D. arizonae,3.831530348394967,3
D. santomea,5.043337109138555,3
D. takahashii,4.717596064665022,3
D. nebulosa,4.485806189943986,3
D. teissieri,5.352783085977068,3
D. hydei,0.8891563102514151,3
D. prosaltans,3.901356246691229,3
D. ananassae,5.5315372206390245,3
D. simulans,6.549764717624056,3
S. lebanonensis,4.704893272794249,3
D. montana,4.011895458,3
D. euronotus,4.558891745085141,3
D. affinis,6.278130407156359,3
